Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
SART1,4.0,3.0,16.0,10.0,3.0,9.0,3.0,24.0,14.0,8.0,2.0,4.0,5.0,2.0,9.0,78.0
SEH1L,5.0,2.0,15.0,4.0,2.0,12.0,9.0,10.0,7.0,13.0,21.0,3.0,10.0,8.0,8.0,86.0
SMARCAD1,2.0,2.0,6.0,2.0,0.0,2.0,3.0,2.0,8.0,5.0,2.0,1.0,3.0,14.0,2.0,35.0
SMG9,6.0,6.0,34.0,3.0,2.0,7.0,1.0,2.0,5.0,8.0,11.0,7.0,4.0,4.0,4.0,70.0
SNRNP48,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,17.0,4.0,5.0,1.0,1.0,29.0
SNRPB,21.0,3.0,8.0,12.0,4.0,8.0,1.0,6.0,8.0,4.0,10.0,9.0,11.0,3.0,6.0,95.0
SP3,6.0,22.0,20.0,0.0,5.0,2.0,11.0,19.0,10.0,12.0,3.0,7.0,7.0,3.0,8.0,88.0
SPCS1,4.0,36.0,4.0,8.0,1.0,2.0,7.0,6.0,14.0,6.0,8.0,2.0,1.0,3.0,6.0,78.0
SPIDR,15.0,8.0,12.0,4.0,12.0,6.0,5.0,4.0,19.0,3.0,6.0,8.0,9.0,6.0,6.0,90.0
SSR1,2.0,7.0,4.0,2.0,1.0,0.0,4.0,7.0,4.0,31.0,10.0,2.0,10.0,0.0,2.0,61.0
STAM,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,3.0,1.0,1.0,0.0,0.0,17.0
STX5,2.0,9.0,11.0,20.0,2.0,5.0,7.0,10.0,5.0,8.0,7.0,8.0,4.0,2.0,4.0,72.0
SUPT7L,15.0,19.0,6.0,7.0,4.0,5.0,7.0,9.0,8.0,9.0,13.0,10.0,5.0,6.0,4.0,97.0
TBC1D23,24.0,1.0,6.0,9.0,3.0,4.0,5.0,3.0,13.0,3.0,7.0,11.0,9.0,10.0,10.0,80.0
TMEM106B,3.0,8.0,11.0,2.0,0.0,2.0,1.0,3.0,5.0,51.0,1.0,6.0,3.0,0.0,2.0,66.0
UBE2T,6.0,4.0,4.0,4.0,6.0,1.0,8.0,6.0,6.0,3.0,21.0,16.0,6.0,2.0,2.0,70.0
UBQLN2,1.0,5.0,11.0,2.0,0.0,1.0,3.0,2.0,18.0,15.0,13.0,6.0,3.0,1.0,1.0,55.0
UCP2,2.0,0.0,3.0,2.0,3.0,4.0,12.0,20.0,11.0,9.0,1.0,7.0,4.0,12.0,6.0,62.0
USP1,4.0,8.0,17.0,6.0,3.0,1.0,5.0,6.0,15.0,8.0,5.0,15.0,10.0,2.0,6.0,69.0
WARS2,7.0,0.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,7.0,4.0,5.0,2.0,10.0,5.0,50.0
YWHAH,5.0,8.0,1.0,2.0,4.0,3.0,3.0,1.0,6.0,2.0,3.0,6.0,8.0,2.0,3.0,49.0
