Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
RAB10,29.0,112.0,71.0,40.0,38.0,59.0,56.0,62.0,60.0,58.0,54.0,40.0,36.0,52.0,45.0,620.0
RAB11FIP3,12.0,26.0,11.0,16.0,6.0,14.0,9.0,18.0,29.0,17.0,37.0,14.0,16.0,12.0,11.0,188.0
RAC1,180.0,137.0,115.0,147.0,96.0,117.0,137.0,141.0,164.0,97.0,138.0,208.0,140.0,110.0,135.0,1656.0
RBM17,8.0,8.0,11.0,15.0,2.0,4.0,4.0,5.0,10.0,53.0,16.0,6.0,3.0,6.0,3.0,114.0
RBP1,33.0,24.0,13.0,20.0,20.0,16.0,27.0,21.0,40.0,12.0,30.0,21.0,22.0,32.0,25.0,271.0
RBPMS,31.0,16.0,15.0,23.0,9.0,22.0,43.0,22.0,44.0,17.0,30.0,29.0,32.0,28.0,38.0,299.0
RCC1,12.0,6.0,19.0,9.0,6.0,6.0,13.0,9.0,29.0,6.0,13.0,7.0,13.0,9.0,16.0,139.0
REEP5,20.0,10.0,9.0,14.0,13.0,9.0,37.0,19.0,22.0,1.0,16.0,19.0,14.0,39.0,17.0,176.0
RELA,9.0,18.0,8.0,10.0,5.0,11.0,7.0,168.0,15.0,10.0,13.0,29.0,17.0,3.0,5.0,228.0
RFC3,191.0,116.0,118.0,161.0,96.0,123.0,114.0,101.0,182.0,89.0,147.0,176.0,137.0,103.0,127.0,1678.0
RFC5,153.0,98.0,88.0,131.0,73.0,92.0,90.0,78.0,133.0,78.0,106.0,137.0,108.0,73.0,86.0,1292.0
RHEB,12.0,10.0,15.0,19.0,15.0,36.0,31.0,15.0,37.0,28.0,91.0,15.0,10.0,21.0,26.0,272.0
RHOB,21.0,31.0,15.0,24.0,6.0,10.0,13.0,9.0,29.0,14.0,10.0,9.0,8.0,8.0,7.0,144.0
RNPS1,13.0,20.0,18.0,14.0,3.0,13.0,13.0,28.0,24.0,22.0,73.0,11.0,19.0,9.0,17.0,209.0
RPL18,24.0,30.0,13.0,9.0,15.0,32.0,18.0,15.0,47.0,6.0,11.0,17.0,8.0,26.0,19.0,206.0
RPL19,28.0,17.0,7.0,24.0,33.0,38.0,32.0,27.0,74.0,20.0,25.0,53.0,38.0,29.0,49.0,380.0
RPL29,21.0,27.0,30.0,34.0,29.0,51.0,33.0,53.0,64.0,40.0,32.0,41.0,25.0,31.0,21.0,387.0
RPL32,27.0,35.0,17.0,30.0,46.0,54.0,46.0,28.0,86.0,13.0,37.0,45.0,18.0,43.0,57.0,407.0
