Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Perfect	4648	CP_Plate_1-Well2-35	CP_Plate_1	Well2	35	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3328	CP_Plate_1-Well2-35	CP_Plate_1	Well2	35	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1975	CP_Plate_1-Well2-35	CP_Plate_1	Well2	35	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	459	CP_Plate_1-Well2-35	CP_Plate_1	Well2	35	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	413	CP_Plate_1-Well2-35	CP_Plate_1	Well2	35	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	2897	CP_Plate_1-Well1-63	CP_Plate_1	Well1	63	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2220	CP_Plate_1-Well1-63	CP_Plate_1	Well1	63	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	725	CP_Plate_1-Well1-63	CP_Plate_1	Well1	63	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	621	CP_Plate_1-Well1-63	CP_Plate_1	Well1	63	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	494	CP_Plate_1-Well1-63	CP_Plate_1	Well1	63	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3959	CP_Plate_1-Well5-5	CP_Plate_1	Well5	5	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2721	CP_Plate_1-Well5-5	CP_Plate_1	Well5	5	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1434	CP_Plate_1-Well5-5	CP_Plate_1	Well5	5	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	364	CP_Plate_1-Well5-5	CP_Plate_1	Well5	5	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	357	CP_Plate_1-Well5-5	CP_Plate_1	Well5	5	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3882	CP_Plate_1-Well4-51	CP_Plate_1	Well4	51	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2722	CP_Plate_1-Well4-51	CP_Plate_1	Well4	51	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1403	CP_Plate_1-Well4-51	CP_Plate_1	Well4	51	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	537	CP_Plate_1-Well4-51	CP_Plate_1	Well4	51	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	507	CP_Plate_1-Well4-51	CP_Plate_1	Well4	51	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	4544	CP_Plate_1-Well5-23	CP_Plate_1	Well5	23	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3089	CP_Plate_1-Well5-23	CP_Plate_1	Well5	23	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	1819	CP_Plate_1-Well5-23	CP_Plate_1	Well5	23	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	440	CP_Plate_1-Well5-23	CP_Plate_1	Well5	23	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	395	CP_Plate_1-Well5-23	CP_Plate_1	Well5	23	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3760	CP_Plate_1-Well3-96	CP_Plate_1	Well3	96	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2829	CP_Plate_1-Well3-96	CP_Plate_1	Well3	96	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2082	CP_Plate_1-Well3-96	CP_Plate_1	Well3	96	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	575	CP_Plate_1-Well3-96	CP_Plate_1	Well3	96	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	565	CP_Plate_1-Well3-96	CP_Plate_1	Well3	96	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	3233	CP_Plate_1-Well4-68	CP_Plate_1	Well4	68	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	2330	CP_Plate_1-Well4-68	CP_Plate_1	Well4	68	ALLBATCHES___CP_Plate_1___ALLWELLS
Great	2057	CP_Plate_1-Well4-68	CP_Plate_1	Well4	68	ALLBATCHES___CP_Plate_1___ALLWELLS
Empty	2012	CP_Plate_1-Well4-68	CP_Plate_1	Well4	68	ALLBATCHES___CP_Plate_1___ALLWELLS
Imperfect	1190	CP_Plate_1-Well4-68	CP_Plate_1	Well4	68	ALLBATCHES___CP_Plate_1___ALLWELLS
Perfect	3877	CP_Plate_1-Well6-84	CP_Plate_1	Well6	84	ALLBATCHES___CP_Plate_1___ALLWELLS
Bad	2894	CP_Plate_1-Well6-84	CP_Plate_1	Well6	84	ALLBATCHES___CP_Plate_1___ALLWELLS
