Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
SETDB1,27.0,70.0,68.0,55.0,37.0,52.0,44.0,50.0,99.0,63.0,58.0,57.0,31.0,45.0,43.0,563.0
SF3B3,33.0,12.0,11.0,9.0,12.0,6.0,10.0,13.0,17.0,10.0,8.0,25.0,23.0,8.0,14.0,178.0
SF3B4,39.0,18.0,18.0,20.0,15.0,12.0,20.0,10.0,23.0,30.0,48.0,29.0,28.0,18.0,28.0,264.0
SFPQ,12.0,24.0,31.0,23.0,16.0,33.0,29.0,17.0,27.0,7.0,30.0,32.0,23.0,14.0,30.0,256.0
SH3BP4,92.0,45.0,61.0,59.0,41.0,42.0,51.0,47.0,94.0,37.0,52.0,94.0,55.0,50.0,67.0,722.0
SHOC2,73.0,29.0,34.0,65.0,46.0,44.0,71.0,27.0,91.0,20.0,49.0,81.0,54.0,62.0,79.0,655.0
SLC25A6,11.0,8.0,8.0,8.0,4.0,7.0,5.0,2.0,77.0,5.0,6.0,17.0,10.0,6.0,21.0,137.0
SLC27A2,14.0,7.0,25.0,15.0,7.0,14.0,14.0,10.0,20.0,21.0,18.0,14.0,3.0,14.0,15.0,131.0
SLC35A1,9.0,12.0,134.0,27.0,2.0,9.0,9.0,17.0,10.0,52.0,11.0,14.0,7.0,6.0,14.0,235.0
SLC46A1,18.0,28.0,4.0,16.0,8.0,5.0,38.0,10.0,35.0,15.0,4.0,9.0,10.0,11.0,17.0,156.0
SMG7,38.0,46.0,77.0,56.0,44.0,59.0,67.0,49.0,70.0,42.0,71.0,56.0,63.0,57.0,59.0,602.0
SREBF1,16.0,6.0,25.0,14.0,3.0,9.0,21.0,5.0,15.0,38.0,3.0,10.0,11.0,4.0,6.0,135.0
SRPRB,24.0,26.0,28.0,23.0,24.0,44.0,21.0,35.0,54.0,35.0,35.0,25.0,19.0,33.0,29.0,354.0
SRSF1,61.0,31.0,26.0,41.0,25.0,27.0,47.0,28.0,61.0,24.0,50.0,54.0,48.0,32.0,68.0,510.0
SSR2,14.0,12.0,33.0,22.0,10.0,10.0,21.0,25.0,18.0,70.0,45.0,17.0,51.0,11.0,17.0,254.0
SSR3,9.0,28.0,42.0,21.0,10.0,12.0,45.0,34.0,20.0,85.0,34.0,12.0,13.0,10.0,17.0,261.0
SSR4,3.0,6.0,14.0,5.0,2.0,3.0,15.0,5.0,7.0,55.0,15.0,8.0,3.0,5.0,5.0,99.0
ST3GAL1,26.0,16.0,39.0,18.0,16.0,18.0,29.0,15.0,29.0,7.0,27.0,39.0,23.0,12.0,20.0,262.0
ST3GAL4,5.0,10.0,110.0,13.0,2.0,4.0,8.0,5.0,11.0,29.0,6.0,9.0,9.0,9.0,5.0,169.0
STAG1,72.0,30.0,42.0,51.0,34.0,41.0,53.0,22.0,92.0,33.0,43.0,54.0,57.0,55.0,73.0,568.0
STRIP1,33.0,44.0,41.0,49.0,31.0,38.0,44.0,43.0,53.0,43.0,48.0,68.0,41.0,24.0,31.0,483.0
STT3A,19.0,22.0,29.0,22.0,7.0,8.0,66.0,28.0,22.0,79.0,21.0,36.0,23.0,8.0,14.0,276.0
STT3B,7.0,9.0,28.0,50.0,5.0,9.0,14.0,23.0,20.0,28.0,16.0,21.0,6.0,5.0,13.0,179.0
SUGP1,26.0,17.0,22.0,31.0,17.0,15.0,16.0,15.0,26.0,27.0,39.0,43.0,12.0,15.0,19.0,251.0
SUV39H1,30.0,19.0,29.0,36.0,27.0,22.0,24.0,21.0,41.0,19.0,36.0,32.0,24.0,34.0,43.0,332.0
SYMPK,10.0,5.0,5.0,3.0,8.0,18.0,5.0,16.0,8.0,5.0,24.0,16.0,26.0,9.0,8.0,131.0
SYNCRIP,15.0,20.0,26.0,17.0,15.0,13.0,18.0,11.0,10.0,6.0,40.0,19.0,11.0,27.0,15.0,185.0
TAF5L,71.0,74.0,48.0,39.0,29.0,40.0,75.0,32.0,51.0,61.0,51.0,59.0,62.0,45.0,40.0,576.0
